Ticker,Company,Aliases
VRSK,Verisk Analytics,"['Verisk Analytics, Inc.', 'Verisk Analytics']"
VZ,Verizon,"['Verizon Communications Inc.', 'Bell Atlantic', 'Verizon']"
VRTX,Vertex Pharmaceuticals,"['Vertex Pharmaceuticals Inc.', 'Vertex', 'Vertex Pharmaceuticals']"
VTRS,Viatris,"['Viatris Inc.', 'Viatris Pharmaceuticals', 'Viatris (firma)', 'Viatris']"
VICI,Vici Properties,['Vici Properties']
V,Visa Inc.,"['Visa', 'Visa Inc']"
VST,Vistra Corp.,"['Vistra Corp.', 'Vistra Energy Corp.', 'Vistra Corp', 'Vistra']"
VMC,Vulcan Materials Company,['Vulcan Materials Company']
WRB,W. R. Berkley Corporation,"['W. R. Berkley Corporation', 'Berkley', 'W R Berkley']"
GWW,W. W. Grainger,"['W. W. Grainger, Inc.', 'Grainger', 'Graigner', 'W W Grainger']"
WAB,Wabtec,"['Wabtec Corporation', 'Wabtec']"
WBA,Walgreens Boots Alliance,['Walgreens Boots Alliance']
WMT,Walmart,"['Wal-Mart', 'Wal Mart', 'Wal-Mart Stores, Inc.', 'Walmart, Inc.', 'Walmart Inc.', 'Wallmart', 'Wal-mart', 'Wall Mart', 'Wall-Mart', 'Walmart']"
DIS,Walt Disney Company (The),"['Disney', 'Disney Brothers Cartoon Studio', 'The Walt Disney Studio', 'Walt Disney Productions', 'Walt Disney Company', 'Walt Disney', 'Walt Disney Company ()']"
WBD,Warner Bros. Discovery,"['Turner Broadcasting System Netherlands', 'Turner Europe, Middle East and Africa', 'Warner Bros Discovery']"
WM,Waste Management,['Waste Management']
WAT,Waters Corporation,['Waters']
WEC,WEC Energy Group,"['WEC Energy Group Inc.', 'Wisconsin Energy Corporation', 'WEC Energy']"
WFC,Wells Fargo,"['Wells Fargo & Company', 'Wells Fargo Bank', 'Wells Fargo']"
WELL,Welltower,"['wellcome.ac.uk', 'The Wellcome Trust', 'wellcome.org', 'Welltower']"
WST,West Pharmaceutical Services,['West Pharmaceutical Services']
WDC,Western Digital,"['Western Digital Corporation', 'WD', 'WDC', 'Western Digital Corp.', 'WD Corp.', 'Western Digital Technologies, Inc.  (San Jose, CA)', 'Western Digital']"
WY,Weyerhaeuser,"['Weyerhaeuser Company', 'Weyerhaeuser']"
WSM,"Williams-Sonoma, Inc.","['Williams Sonoma', 'Willams and Sonoma', 'Williams-Sonoma, Inc', 'Williams-Sonoma']"
WMB,Williams Companies,"['WMBE', 'Wikimedia Belgium NPO', 'bewikimedia', 'Williams Companies']"
WTW,Willis Towers Watson,"['Willis (United Kingdom)', 'WTW', 'wtw', 'Willis Towers Watson plc', 'Willis Towers Watson']"
WDAY,"Workday, Inc.","['Workday', 'workday.com']"
WYNN,Wynn Resorts,"['Wynn Resorts Limited', 'Wynn Resorts']"
XEL,Xcel Energy,['Xcel Energy']
XYL,Xylem Inc.,"['Xylem', 'Xylem (United States)']"
YUM,Yum! Brands,['Yum! Brands']
ZBRA,Zebra Technologies,['Zebra Technologies']
ZBH,Zimmer Biomet,"['Zimmer', 'Biomet', 'Zimmer Biomet', 'Zimmer Biomet Holdings, Inc.']"
ZTS,Zoetis,"['Zoetis Inc.', 'Zoetis']"
